date,respondent,respondent-name,type,type-name,timezone,timezone-description,demand,value-units,city
2025-04-27,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22496,megawatthours,seattle
2025-04-28,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25051,megawatthours,seattle
2025-04-29,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25228,megawatthours,seattle
2025-04-30,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24682,megawatthours,seattle
2025-05-01,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23053,megawatthours,seattle
2025-05-02,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22878,megawatthours,seattle
2025-05-03,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22348,megawatthours,seattle
2025-05-04,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22617,megawatthours,seattle
2025-05-05,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24178,megawatthours,seattle
2025-05-06,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22791,megawatthours,seattle
2025-05-07,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22085,megawatthours,seattle
2025-05-08,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22365,megawatthours,seattle
2025-05-09,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22317,megawatthours,seattle
2025-05-10,SCL,Seattle City Light,D,Demand,Pacific,Pacific,20574,megawatthours,seattle
2025-05-11,SCL,Seattle City Light,D,Demand,Pacific,Pacific,20659,megawatthours,seattle
2025-05-12,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22683,megawatthours,seattle
2025-05-13,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22788,megawatthours,seattle
2025-05-14,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22886,megawatthours,seattle
2025-05-15,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23175,megawatthours,seattle
2025-05-16,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23634,megawatthours,seattle
2025-05-17,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22882,megawatthours,seattle
2025-05-18,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22889,megawatthours,seattle
2025-05-19,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24120,megawatthours,seattle
2025-05-20,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24282,megawatthours,seattle
2025-05-21,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22921,megawatthours,seattle
2025-05-22,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22290,megawatthours,seattle
2025-05-23,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22538,megawatthours,seattle
2025-05-24,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21207,megawatthours,seattle
2025-05-25,SCL,Seattle City Light,D,Demand,Pacific,Pacific,20863,megawatthours,seattle
2025-05-26,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21879,megawatthours,seattle
2025-05-27,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23155,megawatthours,seattle
2025-05-28,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22950,megawatthours,seattle
2025-05-29,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21891,megawatthours,seattle
2025-05-30,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22635,megawatthours,seattle
2025-05-31,SCL,Seattle City Light,D,Demand,Pacific,Pacific,20730,megawatthours,seattle
2025-06-01,SCL,Seattle City Light,D,Demand,Pacific,Pacific,20979,megawatthours,seattle
2025-06-02,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23242,megawatthours,seattle
2025-06-03,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23381,megawatthours,seattle
2025-06-04,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22096,megawatthours,seattle
2025-06-05,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22318,megawatthours,seattle
2025-06-06,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23585,megawatthours,seattle
2025-06-07,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22832,megawatthours,seattle
2025-06-08,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24222,megawatthours,seattle
2025-06-09,SCL,Seattle City Light,D,Demand,Pacific,Pacific,26694,megawatthours,seattle
2025-06-10,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25534,megawatthours,seattle
2025-06-11,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22494,megawatthours,seattle
2025-06-12,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21642,megawatthours,seattle
2025-06-13,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22242,megawatthours,seattle
2025-06-14,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21223,megawatthours,seattle
2025-06-15,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21207,megawatthours,seattle
2025-06-16,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23222,megawatthours,seattle
2025-06-17,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23302,megawatthours,seattle
2025-06-18,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23008,megawatthours,seattle
2025-06-19,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21269,megawatthours,seattle
2025-06-20,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22002,megawatthours,seattle
2025-06-21,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21622,megawatthours,seattle
2025-06-22,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21415,megawatthours,seattle
2025-06-23,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23444,megawatthours,seattle
2025-06-24,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23754,megawatthours,seattle
2025-06-25,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21976,megawatthours,seattle
2025-06-26,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21618,megawatthours,seattle
2025-06-27,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22272,megawatthours,seattle
2025-06-28,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21565,megawatthours,seattle
2025-06-29,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22143,megawatthours,seattle
2025-06-30,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25683,megawatthours,seattle
2025-07-01,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25664,megawatthours,seattle
2025-07-02,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23727,megawatthours,seattle
2025-07-03,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21534,megawatthours,seattle
2025-07-04,SCL,Seattle City Light,D,Demand,Pacific,Pacific,20871,megawatthours,seattle
2025-07-05,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21301,megawatthours,seattle
2025-07-06,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21980,megawatthours,seattle
2025-07-07,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25144,megawatthours,seattle
2025-07-08,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25706,megawatthours,seattle
2025-07-09,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23118,megawatthours,seattle
2025-07-10,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22212,megawatthours,seattle
2025-07-11,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23941,megawatthours,seattle
2025-07-12,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24080,megawatthours,seattle
2025-07-13,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24864,megawatthours,seattle
2025-07-14,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25822,megawatthours,seattle
2025-07-15,SCL,Seattle City Light,D,Demand,Pacific,Pacific,26321,megawatthours,seattle
2025-07-16,SCL,Seattle City Light,D,Demand,Pacific,Pacific,27180,megawatthours,seattle
2025-07-17,SCL,Seattle City Light,D,Demand,Pacific,Pacific,25557,megawatthours,seattle
2025-07-18,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23662,megawatthours,seattle
2025-07-19,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21489,megawatthours,seattle
2025-07-20,SCL,Seattle City Light,D,Demand,Pacific,Pacific,21332,megawatthours,seattle
2025-07-21,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24051,megawatthours,seattle
2025-07-22,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24378,megawatthours,seattle
2025-07-23,SCL,Seattle City Light,D,Demand,Pacific,Pacific,24213,megawatthours,seattle
2025-07-24,SCL,Seattle City Light,D,Demand,Pacific,Pacific,23383,megawatthours,seattle
2025-07-25,SCL,Seattle City Light,D,Demand,Pacific,Pacific,22587,megawatthours,seattle
